joint1,joint2,joint3,joint4,joint5,joint5,isCollision
-2.22505,-1.18468,1.19737,-0.692052,1.8128,2.34734,0
2.96823,-1.66219,1.17437,1.00911,2.83939,2.11792,0
-0.875493,-2.44412,2.97742,-1.78208,1.56024,-0.466984,1
0.78585,2.71497,0.270276,-1.49997,-2.70147,-1.42588,1
0.0782123,-0.374752,1.91626,-0.680109,-3.0032,1.08781,0
0.270803,-1.26128,2.45314,0.934427,1.26976,-2.81737,0
0.516141,2.88455,-2.75386,-0.140638,-1.36783,-2.74737,0
-1.39982,1.79953,-1.68287,-1.3903,-1.96754,-0.761844,1
1.89764,-1.73293,-0.290884,1.99323,-2.29568,-0.118443,1
0.346603,1.57393,-2.97773,-1.36051,2.6933,0.72717,0
-2.74918,0.0963173,-0.0790343,1.14321,-3.02238,2.122,1
-2.24259,2.87506,-2.68194,0.529325,2.97751,-0.539098,1
-2.22708,-1.88715,0.0656475,2.77629,-1.3818,2.82517,1
-2.2894,1.91584,-2.72151,-0.0308874,-2.11229,1.78089,0
1.55842,2.12059,1.11851,2.12924,0.504734,1.22157,1
-1.94027,-2.95362,3.10249,-0.770994,1.70501,-0.926782,1
-1.08909,1.5098,1.45938,-2.24087,-1.98116,2.26325,1
1.84501,-1.06059,-2.27775,-1.40641,1.82455,-0.425965,1
2.37458,2.43642,2.98946,1.1573,-1.19765,2.44533,0
-1.02088,0.613998,0.335099,2.69354,-2.42365,2.33063,1
-2.96797,-0.603816,0.250027,-1.52132,1.43472,-3.12208,0
-1.80778,2.4767,-2.70975,0.588254,0.482824,0.23951,0
-0.330626,-2.55792,1.34238,-2.08302,2.7831,2.40244,1
2.22744,3.07809,0.214415,-1.90976,-0.296569,-2.05103,0
-2.19715,2.21235,-0.403069,-0.950284,2.66141,1.81708,1
3.05035,-1.42862,-2.19224,-1.99984,0.425379,-0.652783,0
1.07231,-3.06726,-1.29388,0.100374,1.77871,1.83315,0
-1.19202,1.97697,0.765898,-1.95387,2.45007,-1.62153,0
-0.444542,0.490823,0.874636,2.54405,-0.195894,-0.332883,0
-1.54028,1.01852,-1.98503,2.96239,2.41826,0.0469775,0
1.36059,3.01078,0.755532,0.698494,1.20835,-1.21231,1
-1.14414,2.96372,2.70059,-2.86499,2.92457,2.42711,1
-1.17248,-1.35164,-2.30853,-1.67075,-0.9966,-0.387425,0
-2.24491,1.58106,-1.29974,-2.96199,-1.85199,2.22137,0
-0.145717,-1.80566,0.463173,2.39191,0.623669,1.61545,1
0.434407,-0.7229,-1.03486,-2.84764,0.437243,-2.34594,0
0.685173,-1.11576,0.682245,-2.50569,-2.1039,-0.258498,0
-0.343925,2.04155,2.93563,1.22839,0.308545,2.72789,0
0.243985,-0.391449,-0.033834,-2.12161,-2.66238,0.603976,1
-2.92963,-0.77002,2.04031,0.524479,1.01053,-0.202091,0
0.149379,-2.75088,2.15653,-1.71137,3.0793,2.3792,0
2.80612,-1.26533,-2.98935,2.84636,-2.17029,-1.91414,0
3.00412,0.319645,2.10046,2.59084,3.1075,0.918142,1
